code|name|misc|description
XXXART|Art|All|art dept
XXXBIO|Biology|All|bio dept
XXXCHEM|Chemistry|All|chem dept
XXXPHYS|Physics|All|phys dept
XXXENG|English|All|eng dept
XXXMATH|Math|All|math dept
XXXCS|Computer Science|All|cs dept
XXXSS|Social Studies|All|ss dept
XXXHPE|Health and Physical Education|All|phys ed dept
XXXLANG|World Languages|All|lang dept
XXXMUS|Music|All|music dept
XXXTECH|Technology|All|tech dept
AHS11|Art Appreciation|Required course.|Art Appreciation is a one semester course designed to introduce the student to the language of visual art. This is a course required of all students, usually completed in the freshman year.
APS21QAP & APS22QAP|Acrylic Painting|Seniors only. Fulfills 10Tech requirement.|This class is open to seniors, but other students with the permission of the department chairperson may also enroll in this class.
AUS11QCG|Computer Graphics Design|Juniors & Seniors only.|All interested seniors or juniors with room in their programs. Computer experience is not necessary. The highly skilled will be welcomed too!
ANS11QAS|Studio Art: Mixed Media|Art Appreciation a prerequisite.|This class is open to juniors and seniors, who have successfully completed Art Apprciation and who are interested in studying and creating art beyond the high school level.
APS11QWC|Water Color|Art Appreciation a prerequisite.|Students who have successfully completed Art Appreciation and are interested in exploring the dynamic nature and spirit of the watercolor medium should take this course.
AKS11QFV|Digital Video|Open to Juniors and Seniors.| The course includes basic instruction on Story, Screenplay, Storyboard, Camera /Tripod, Light, Sound, Crew Production and Video Editing. Early Film History is integrated into the mix to become familiar with the early innovators of the art form and to examine the evolution of Classical Hollywood style editing. Students produce three short films per semester; a narrative, a documentary and an experimental one.
SLS43 & SLS44|Modern Biology|Full-year course.|This course is a survey of life processes and the biochemistry of living things. It includes a study of the major organ systems of animals and the life functions of plants. The spring term includes reproduction in plants and animals, genetics, ecology and evolution. Students who have not completedthe Regents in Living Environment
SBS21QT & SBS22QT|Advanced Topics|Full-year course. By invitation only.|This is an advanced, honors-level, pre AP Biology class. This course is designed for the student who has already taken and passed the New York State Living Environment Regents course and examination.
SLS43QM & SLS44QM|Molecular Biology|Full-year course. For Juniors who took Physics in freshman year.|This course is specifically designed for junior year students who took Regents Physics as their 9th grade Regents science class.This course will prepare the student for the Regents Living Environment examination and the SAT II Biology examination.The curriculum is based on the more challenging SAT II Biology curriculum.
SBS22HJ|Freshman Research Techniques|Spring term only. By invitation only.|This course is for students who have a science career as a goal. Besides the Regents Living Environment/Biology course, students perform additional advanced laboratory exercises such as chromosomal staining and biochemical projects. This course requires students to choose and perform a science research project that tests the effects of various environmental or chemical changes on a variety of microorganisms or insects.
SBS11QBT|Biological Lab Techniques|Fall term only. Sophomores only.Corequisite or prerequisitefor AP Biology.|Students perform laboratory projects. Highlights of the course include urine analysis, bacteriological work, fruit fly experiments, DNA extraction and microscope work with protozoans. The class will concentrate on bench work in the lab plus an academic component on which labs are based. Students' work will include diagrams, daily logs of experiments, written analysis, discussion and special projects. Exams occur as appropriate at the end of a unit. Major projects or logs may count as an exam. Students are expected to participate in discussions and work intelligently and maturely in the laboratory. There is a small cost for replacement materials. This course is one of several possible prerequisites for AP Biology. While this course is open to sophomores, juniors and seniors, placement preference is given to upperclassmen. (One term, fall term only)
SWS11QLZ|Vertebrate Zoology|Spring term only. Sophomores only. Corequisite or prerequisite for AP Biology.|This course is designed for students with an interest in the nature and structure of biological systems. Students study major vertebrate types by performing dissections on representative organisms including the lamprey, dogfish shark, perch, pigeon and rat. Evolutionary trends are emphasized throughout. Students are expected to recognize the anatomical structures of representative vertebrates with an eye towards identifying traits used to classify groups in a taxon.
SBS11QAS|Anthropology & Sociobiology|Fall term only. Juniors & Seniors only.|While there are many possible models in anthropology, the human ecology approach seeks to understand behavior in terms of biological adaptation to the physical world. This approach encompasses four fields of anthropology: Paleontology, Archaeology, Cultural Anthropology and Linguistics, although the emphasis in this course is on the first three. The focus of the course is the structure of human societies and how this structure reflects the adaptation of the society to its environment in behavioral terms. Topics will include: (1) Sociobiology and the theories of the "selfish gene" and how this affects behavior. (2) Paleontology and the theories of forces leading to evolution of humans, with an emphasis on environmental influences on human evolution, primate behavior as patterns for early human behavior and the evolution of humans from Austrolopithicus through Homo sapiens. (3) Archaeology, which includes the rise of civilizations and environmental determinants such as "central place theory", importance of waterworks, agriculture, and animal domestication in the development of settled communities. Focus areas may include the Middle East and Meso America. (4) Cultural Anthropology which includes studies of various non-technical societies and how their culture allows them to adapt to and survive in their environment. Theories would include such topics as the development of ethnic groups and boundaries.
