master,slave
XXXART,AHS11
XXXART,APS21QAP & APS22QAP
XXXART,AUS11QCG
XXXART,AKS11QFV
AHS11,ANS11QAS
AHS11,APS11QWC
XXXCS,MKS21
MKS21,MKS21X & MKS22X
MKS21X & MKS22X,MKS65C
MKS21X & MKS22X,MKS66C
MKS21X & MKS22X,MKS21QJI
XXXBIO,SLS43 & SLS44
XXXBIO,SBS21QT SBS22QT
XXXBIO,SBS22HJ
XXXBIO,SLS43QM & SLS44QM
XXXLANG,FFS61 & FFS62
XXXLANG,FGS61 & FGS62
XXXLANG,FTS61 & FTS62
XXXLANG,FJS61 & FJS62
XXXLANG,FLS61 & FLS62
XXXLANG,FMS61 & FMS62
XXXLANG,FSS61 & FSS62
FFS61 & FFS62,FFS63 & FFS64
FFS63 & FFS64,FFS65 & FFS66
FFS65 & FFS66,FFS87X & FFS88X
FGS61 & FGS62,FGS63 & FGS64
FGS63 & FGS64,FGS65 & FGS66
FTS61 & FTS62,FTS63 & FTS64
FTS63 & FTS64,FTS65 & FTS66
FTS65 & FTS66,FTS87X & FTS88X
FJS61 & FJS62,FJS63 & FJS64
FJS63 & FJS64,FJS65 & FJS66
FJS65 & FJS66,FJS87X & FJS88X
FLS61 & FLS62,FLS63 & FLS64
FLS63 & FLS64,FLS65 & FLS66
FLS65 & FLS66,FLS87X & FLS88X
FMS61 & FMS62,FMS63 & FMS64
FMS63 & FMS64,FMS65 & FMS66
FMS65 & FMS66,FMS87X & FMS88X
FSS61 & FSS62,FSS63 & FSS64
FSS63 & FSS64,FSS65 & FSS66
FSS65 & FSS66,FSS87QT & FSS88QT
FSS87QT & FSS88QT,FSSA9QGF & FSSAAQGF
FSS87X & FSS88X,FSSA9QGF & FSSAAQGF
FSS65 & FSS66,FSS87X & FSS88X
